VAR,RMS,IEMG,MAV,WL,WAMP,TARGET
14.58020958,3.81840598,1321.044519,2.642089037,2047.405067,17,1
20.83723045,4.564891697,1644.02173,3.288043459,2583.322945,31,1
31.86249412,5.644705358,1898.909894,3.797819789,2946.110378,14,1
102.4169641,10.12031615,3757.1626,7.5143252,5743.575206,37,1
80.63886916,8.979936246,3334.93776,6.66987552,5156.317131,31,1
47.79808345,6.913922493,2317.7777,4.6355554,3495.612634,57,1
85.19786506,9.230274159,2593.302252,5.186604504,4017.465598,17,1
220.7293806,14.85696693,4229.349627,8.458699254,6513.555912,48,1
145.6330591,12.06805099,4050.577879,8.101155759,5854.802535,11,1
47.35897239,6.881811893,2038.045971,4.076091941,3314.460631,31,1
105.9972244,10.29550105,3688.643991,7.377287982,5698.8511,31,1
91.61008635,9.571411909,3470.836785,6.941673571,5519.991315,25,1
115.4390045,10.74437939,3775.22219,7.550444381,5948.132541,29,1
123.7609478,11.12502678,4037.570478,8.075140957,6563.004575,32,1
90.81550905,9.530005105,3456.354413,6.912708826,5631.055274,32,1
242.3369282,15.5671752,4556.493145,9.112986289,7036.920769,55,2
168.015396,12.96210471,2945.446975,5.890893951,4663.19553,49,2
165.4846825,12.86408645,4394.742371,8.789484743,6936.865152,51,2
209.0446026,14.45842594,5410.212792,10.82042558,8758.470761,34,2
74.53291516,8.633249426,3029.158605,6.05831721,4741.082856,46,2
105.1290445,10.25325675,3423.149667,6.846299334,5381.156953,41,2
300.7329284,17.3417107,6494.648972,12.98929794,9804.447292,29,2
476.7229178,21.8339957,7089.92568,14.17985136,11822.48516,66,2
204.6647277,14.30611019,4789.242408,9.578484817,7418.563077,41,2
250.8917846,15.83956424,5476.425381,10.95285076,8792.384423,41,2
328.5857766,18.12695112,6727.804072,13.45560814,10584.35542,49,2
261.9379993,16.18450462,5433.27856,10.86655712,9111.300581,63,2
40.57941341,6.370200539,2230.0446,4.4600892,3582.428066,53,2
40.52937001,6.366420747,2336.628129,4.673256258,3606.349914,37,2
50.93590853,7.136946573,2738.005861,5.476011721,4207.0368,31,2
85.47143261,9.245267587,3196.850061,6.393700122,4869.869066,33,2
163.4987797,12.78666876,3929.320806,7.858641612,6018.27381,38,2
50.78872469,7.127068366,2132.380744,4.264761487,3258.683988,34,2
28.36369671,5.326405798,1846.089126,3.692178252,2967.572433,36,2
91.62489547,9.572103481,2729.715794,5.459431587,4291.246335,40,2
57.32663266,7.571436842,2711.256897,5.422513793,4388.165857,43,2
20.02930012,4.475511469,1547.968279,3.095936558,2461.434763,50,2
25.03814764,5.004038082,1738.162,3.476324,2732.068704,43,2
61.34856458,7.832566486,1835.771547,3.671543095,2664.575757,30,2
49.61605799,7.044102732,2641.727956,5.283455912,4173.261918,32,2
32.91183912,5.736887593,2091.887205,4.183774409,3303.796344,57,2
182.3411331,13.50337518,4299.820521,8.599641042,6773.539301,55,2
41.65891292,6.454466266,2434.236451,4.868472901,3839.154093,35,2
33.34936474,5.775024045,2009.437485,4.018874969,3051.441233,36,2
